release_date,title,character
"June 14, 2023",Captain Marvel Vol 10 50,Steven Rogers (Earth-616)
"June 28, 2023",Avengers Beyond Vol 1 4,Steven Rogers (Earth-616)
"July 26, 2023",Invincible Iron Man Vol 5 8,Steven Rogers (Earth-616)
"July 5, 2023",Captain America Vol 1 750,Steven Rogers (Earth-616)
"July 5, 2023",X-Men: Before The Fall - Sinister Four Vol 1 1,Steven Rogers (Earth-616)
"July 12, 2023",Fallen Friend: The Death of Ms. Marvel Vol 1 1,Steven Rogers (Earth-616)
"July 26, 2023",Avengers Beyond Vol 1 5,Steven Rogers (Earth-616)
"September 12, 2023",Avengers Unlimited Infinity Comic Vol 1 63,Steven Rogers (Earth-616)
"September 19, 2023",Avengers Unlimited Infinity Comic Vol 1 64,Steven Rogers (Earth-616)
"September 26, 2023",Avengers Unlimited Infinity Comic Vol 1 65,Steven Rogers (Earth-616)
"September 26, 2023",Super Hero's Journey Vol 1 1,Steven Rogers (Earth-616)
"August 2, 2023",X-Men Vol 6 25,Steven Rogers (Earth-616)
"August 23, 2023",Captain America Finale Vol 1 1,Steven Rogers (Earth-616)
"August 16, 2023",Uncanny Avengers Vol 4 1,Steven Rogers (Earth-616)
"August 23, 2023",Invincible Iron Man Vol 5 9,Steven Rogers (Earth-616)
"September 13, 2023",Alligator Loki Vol 1 1,Steven Rogers (Earth-616)
"September 20, 2023",Captain America Vol 11 1,Steven Rogers (Earth-616)
"September 20, 2023",Uncanny Avengers Vol 4 2,Steven Rogers (Earth-616)
"October 25, 2023",Captain America Vol 11 2,Steven Rogers (Earth-616)
"November 20, 2023",X-Men Unlimited Infinity Comic Vol 1 114,Steven Rogers (Earth-616)
"October 25, 2023",Uncanny Avengers Vol 4 3,Steven Rogers (Earth-616)
"October 11, 2023",Wolverine Vol 7 38,Steven Rogers (Earth-616)
"December 8, 2023",Alligator Loki Infinity Comic Vol 1 25,Steven Rogers (Earth-616)
"November 1, 2023",White Widow Vol 1 1,Steven Rogers (Earth-616)
"November 15, 2023",Uncanny Avengers Vol 4 4,Steven Rogers (Earth-616)
"November 22, 2023",Invincible Iron Man Vol 5 12,Steven Rogers (Earth-616)
"November 29, 2023",Captain America Vol 11 3,Steven Rogers (Earth-616)
"December 6, 2023",Marvel's Voices: Avengers Vol 1 1,Steven Rogers (Earth-616)
"December 13, 2023",Captain America Vol 11 4,Steven Rogers (Earth-616)
"December 20, 2023",Spider-Boy Vol 2 2,Steven Rogers (Earth-616)
"December 20, 2023",Uncanny Avengers Vol 4 5,Steven Rogers (Earth-616)
"January 3, 2024",Captain America Vol 11 5,Steven Rogers (Earth-616)
"January 3, 2024",Vengeance of the Moon Knight Vol 2 1,Steven Rogers (Earth-616)
"January 31, 2024",Marvel's Voices: Legends Vol 1 1,Steven Rogers (Earth-616)
"February 7, 2024",Captain America Vol 11 6,Steven Rogers (Earth-616)
"February 7, 2024",Wolverine: Madripoor Knights Vol 1 1,Steven Rogers (Earth-616)
"April 5, 2024",Infinity Paws Infinity Comic Vol 1 1,Steven Rogers (Earth-616)
"March 6, 2024",Captain America Vol 11 7,Steven Rogers (Earth-616)
"March 20, 2024",Spider-Boy Vol 2 5,Steven Rogers (Earth-616)
"March 20, 2024",Wolverine: Madripoor Knights Vol 1 2,Steven Rogers (Earth-616)
"April 3, 2024",Captain America Vol 11 8,Steven Rogers (Earth-616)
"April 24, 2024",Wolverine: Madripoor Knights Vol 1 3,Steven Rogers (Earth-616)
"June 7, 2024",Infinity Paws Infinity Comic Vol 1 10,Steven Rogers (Earth-616)
"May 8, 2024",Avengers Vol 9 14,Steven Rogers (Earth-616)
"May 8, 2024",Captain America Vol 11 9,Steven Rogers (Earth-616)
"May 15, 2024",Wolverine: Madripoor Knights Vol 1 4,Steven Rogers (Earth-616)
"May 22, 2024",Amazing Spider-Man Vol 6 50,Steven Rogers (Earth-616)
"May 29, 2024",Spider-Boy Vol 2 7,Steven Rogers (Earth-616)
"May 29, 2024",X-Men: The Wedding Special Vol 2 1,Steven Rogers (Earth-616)
"June 12, 2024",Avengers Vol 9 15,Steven Rogers (Earth-616)
"June 12, 2024",Spider-Boy Vol 2 8,Steven Rogers (Earth-616)
"June 19, 2024",Captain America Vol 11 10,Steven Rogers (Earth-616)
"June 26, 2024",Wolverine: Madripoor Knights Vol 1 5,Steven Rogers (Earth-616)
"July 10, 2024",Avengers Vol 9 16,Steven Rogers (Earth-616)
"July 24, 2024",Captain America Vol 11 11,Steven Rogers (Earth-616)
"August 28, 2024",Captain America Vol 11 12,Steven Rogers (Earth-616)
"September 11, 2024",Avengers Assemble Vol 3 1,Steven Rogers (Earth-616)
"September 11, 2024",Captain America Vol 11 13,Steven Rogers (Earth-616)
"September 25, 2024",X-Force Vol 7 3,Steven Rogers (Earth-616)
"November 13, 2024",Marvel Super Stories Amazing Adventures Vol 1 1,Steven Rogers (Earth-616)
"November 19, 2024",Avengers Academy: Marvel's Voices Infinity Comic Vol 1 21,Steven Rogers (Earth-616)
"November 27, 2024",Avengers Academy: Marvel's Voices Infinity Comic Vol 1 23,Steven Rogers (Earth-616)
"October 9, 2024",Spider-Man: Black Suit and Blood Vol 1 3,Steven Rogers (Earth-616)
"October 2, 2024",Ghost Rider: Robbie Reyes Special Vol 1 1,Steven Rogers (Earth-616)
"October 16, 2024",Avengers Assemble Vol 3 2,Steven Rogers (Earth-616)
"October 30, 2024",Captain America Vol 11 14,Steven Rogers (Earth-616)
"November 13, 2024",Captain America Vol 11 15,Steven Rogers (Earth-616)
"November 20, 2024",Avengers Assemble Vol 3 3,Steven Rogers (Earth-616)
"November 20, 2024",Sentinels Vol 1 2,Steven Rogers (Earth-616)
"December 4, 2024",Avengers Assemble Vol 3 4,Steven Rogers (Earth-616)
"December 18, 2024",Alligator Loki Holiday Special Vol 1 1,Steven Rogers (Earth-616)
"December 18, 2024",Captain America Vol 11 16,Steven Rogers (Earth-616)
"December 18, 2024",Namor Vol 2 5,Steven Rogers (Earth-616)
"January 10, 1963",Tales of Suspense Vol 1 40,Anthony Stark (Earth-616)
"December 10, 1962",Tales of Suspense Vol 1 39,Anthony Stark (Earth-616)
"February 12, 1963",Tales of Suspense Vol 1 41,Anthony Stark (Earth-616)
"March 12, 1963",Tales of Suspense Vol 1 42,Anthony Stark (Earth-616)
"April 9, 1963",Tales of Suspense Vol 1 43,Anthony Stark (Earth-616)
"May 9, 1963",Tales of Suspense Vol 1 44,Anthony Stark (Earth-616)
"June 11, 1963",Tales of Suspense Vol 1 45,Anthony Stark (Earth-616)
"July 2, 1963",Avengers Vol 1 1,Anthony Stark (Earth-616)
"July 9, 1963",Tales of Suspense Vol 1 46,Anthony Stark (Earth-616)
"August 8, 1963",Tales of Suspense Vol 1 47,Anthony Stark (Earth-616)
"September 3, 1963",Avengers Vol 1 2,Anthony Stark (Earth-616)
"September 10, 1963",Tales of Suspense Vol 1 48,Anthony Stark (Earth-616)
"October 8, 1963",Tales of Suspense Vol 1 49,Anthony Stark (Earth-616)
"November 5, 1963",Avengers Vol 1 3,Anthony Stark (Earth-616)
"November 12, 1963",Tales of Suspense Vol 1 50,Anthony Stark (Earth-616)
"December 2, 1963",Journey Into Mystery Vol 1 101,Anthony Stark (Earth-616)
"December 9, 1963",Tales of Suspense Vol 1 51,Anthony Stark (Earth-616)
"January 3, 1964",Avengers Vol 1 4,Anthony Stark (Earth-616)
"January 10, 1964",Fantastic Four Vol 1 25,Anthony Stark (Earth-616)
"February 11, 1964",Fantastic Four Vol 1 26,Anthony Stark (Earth-616)
"January 10, 1964",Tales of Suspense Vol 1 52,Anthony Stark (Earth-616)
"March 3, 1964",Avengers Vol 1 5,Anthony Stark (Earth-616)
"February 11, 1964",Tales of Suspense Vol 1 53,Anthony Stark (Earth-616)
"March 10, 1964",Tales of Suspense Vol 1 54,Anthony Stark (Earth-616)
"April 2, 1964",Journey Into Mystery Vol 1 105,Anthony Stark (Earth-616)
"April 9, 1964",Tales of Suspense Vol 1 55,Anthony Stark (Earth-616)
"May 5, 1964",Avengers Vol 1 6,Anthony Stark (Earth-616)
"May 12, 1964",Tales of Suspense Vol 1 56,Anthony Stark (Earth-616)
"June 9, 1964",Avengers Vol 1 7,Anthony Stark (Earth-616)
"June 2, 1964",Tales to Astonish Vol 1 59,Anthony Stark (Earth-616)
"July 2, 1964",Journey Into Mystery Vol 1 108,Anthony Stark (Earth-616)
"June 9, 1964",Tales of Suspense Vol 1 57,Anthony Stark (Earth-616)
"July 9, 1964",Avengers Vol 1 8,Anthony Stark (Earth-616)
"June 11, 1964",Amazing Spider-Man Annual Vol 1 1,Anthony Stark (Earth-616)
"July 9, 1964",Fantastic Four Vol 1 31,Anthony Stark (Earth-616)
"July 9, 1964",Tales of Suspense Vol 1 58,Anthony Stark (Earth-616)
"August 11, 1964",Amazing Spider-Man Vol 1 18,Anthony Stark (Earth-616)
"August 11, 1964",Tales of Suspense Vol 1 59,Anthony Stark (Earth-616)
"September 8, 1964",Avengers Vol 1 10,Anthony Stark (Earth-616)
"August 11, 1964",Avengers Vol 1 9,Anthony Stark (Earth-616)
"September 8, 1964",Tales of Suspense Vol 1 60,Anthony Stark (Earth-616)
"November 3, 1964",Journey Into Mystery Vol 1 112,Anthony Stark (Earth-616)
"October 8, 1964",Tales of Suspense Vol 1 61,Anthony Stark (Earth-616)
"November 3, 1964",X-Men Vol 1 9,Anthony Stark (Earth-616)
"November 10, 1964",Avengers Vol 1 12,Anthony Stark (Earth-616)
"November 10, 1964",Tales of Suspense Vol 1 62,Anthony Stark (Earth-616)
"December 10, 1964",Avengers Vol 1 13,Anthony Stark (Earth-616)
"December 10, 1964",Fantastic Four Vol 1 36,Anthony Stark (Earth-616)
"December 10, 1964",Tales of Suspense Vol 1 63,Anthony Stark (Earth-616)
"January 12, 1965",Avengers Vol 1 14,Anthony Stark (Earth-616)
"January 12, 1965",Tales of Suspense Vol 1 64,Anthony Stark (Earth-616)
"February 11, 1965",Avengers Vol 1 15,Anthony Stark (Earth-616)
"March 4, 1965",Journey Into Mystery Vol 1 116,Anthony Stark (Earth-616)
"February 11, 1965",Tales of Suspense Vol 1 65,Anthony Stark (Earth-616)
"March 11, 1965",Avengers Vol 1 16,Anthony Stark (Earth-616)
"March 11, 1965",Tales of Suspense Vol 1 66,Anthony Stark (Earth-616)
"April 8, 1965",Tales of Suspense Vol 1 67,Anthony Stark (Earth-616)
"May 11, 1965",Tales of Suspense Vol 1 68,Anthony Stark (Earth-616)
"June 8, 1965",Tales of Suspense Vol 1 69,Anthony Stark (Earth-616)
"July 1, 1965",Fantastic Four Annual Vol 1 3,Anthony Stark (Earth-616)
"May 4, 1965",Strange Tales Vol 1 135,Anthony Stark (Earth-616)
"July 8, 1965",Tales of Suspense Vol 1 70,Anthony Stark (Earth-616)
"August 10, 1965",Tales of Suspense Vol 1 71,Anthony Stark (Earth-616)
"August 10, 1965",Strange Tales Vol 1 138,Anthony Stark (Earth-616)
"September 5, 1965",Avengers Vol 1 22,Anthony Stark (Earth-616)
"September 9, 1965",Tales of Suspense Vol 1 72,Anthony Stark (Earth-616)
"October 12, 1965",Tales of Suspense Vol 1 73,Anthony Stark (Earth-616)
"September 9, 1965",Strange Tales Vol 1 139,Anthony Stark (Earth-616)
"November 11, 1965",Tales of Suspense Vol 1 74,Anthony Stark (Earth-616)
"October 12, 1965",Strange Tales Vol 1 140,Anthony Stark (Earth-616)
"December 9, 1965",Tales of Suspense Vol 1 75,Anthony Stark (Earth-616)
"January 11, 1966",Tales of Suspense Vol 1 76,Anthony Stark (Earth-616)
"January 11, 1966",Strange Tales Vol 1 143,Anthony Stark (Earth-616)
"February 10, 1966",Tales of Suspense Vol 1 77,Anthony Stark (Earth-616)
"March 10, 1966",Tales of Suspense Vol 1 78,Anthony Stark (Earth-616)
"April 12, 1966",Tales of Suspense Vol 1 79,Anthony Stark (Earth-616)
"May 10, 1966",Tales of Suspense Vol 1 80,Anthony Stark (Earth-616)
"May 3, 1966",Tales to Astonish Vol 1 82,Anthony Stark (Earth-616)
"July 7, 1966",Avengers Vol 1 32,Anthony Stark (Earth-616)
"June 9, 1966",Tales of Suspense Vol 1 81,Anthony Stark (Earth-616)
"July 7, 1966",Tales of Suspense Vol 1 82,Anthony Stark (Earth-616)
"August 2, 1966",Amazing Spider-Man Annual Vol 1 3,Anthony Stark (Earth-616)
"September 8, 1966",Tales of Suspense Vol 1 84,Anthony Stark (Earth-616)
"August 9, 1966",Tales of Suspense Vol 1 83,Anthony Stark (Earth-616)
"October 11, 1966",Tales of Suspense Vol 1 85,Anthony Stark (Earth-616)
"December 8, 1966",Tales of Suspense Vol 1 87,Anthony Stark (Earth-616)
"November 10, 1966",Tales of Suspense Vol 1 86,Anthony Stark (Earth-616)
"January 10, 1967",Tales of Suspense Vol 1 88,Anthony Stark (Earth-616)
"February 2, 1967",Strange Tales Vol 1 156,Anthony Stark (Earth-616)
"February 2, 1967",Tales of Suspense Vol 1 89,Anthony Stark (Earth-616)
"February 14, 1967",X-Men Vol 1 31,Anthony Stark (Earth-616)
"March 2, 1967",Tales of Suspense Vol 1 90,Anthony Stark (Earth-616)
"April 4, 1967",Tales of Suspense Vol 1 91,Anthony Stark (Earth-616)
"May 2, 1967",Tales of Suspense Vol 1 92,Anthony Stark (Earth-616)
"June 1, 1967",Tales of Suspense Vol 1 93,Anthony Stark (Earth-616)
"July 11, 1967",Avengers Annual Vol 1 1,Anthony Stark (Earth-616)
"June 29, 1967",Tales of Suspense Vol 1 94,Anthony Stark (Earth-616)
"August 8, 1967",Avengers Vol 1 45,Anthony Stark (Earth-616)
"August 31, 1967",Tales of Suspense Vol 1 96,Anthony Stark (Earth-616)
"October 3, 1967",Tales of Suspense Vol 1 97,Anthony Stark (Earth-616)
"August 1, 1967",Tales of Suspense Vol 1 95,Anthony Stark (Earth-616)
"November 9, 1967",Avengers Vol 1 48,Anthony Stark (Earth-616)
"November 2, 1967",Tales of Suspense Vol 1 98,Anthony Stark (Earth-616)
"November 30, 1967",Tales of Suspense Vol 1 99,Anthony Stark (Earth-616)
"January 2, 1968",Iron Man and Sub-Mariner Vol 1 1,Anthony Stark (Earth-616)
"February 8, 1968",Avengers Vol 1 51,Anthony Stark (Earth-616)
"March 7, 1968",Avengers Vol 1 52,Anthony Stark (Earth-616)
"February 29, 1968",Iron Man Vol 1 2,Anthony Stark (Earth-616)
"February 1, 1968",Iron Man Vol 1 1,Anthony Stark (Earth-616)
"April 2, 1968",Iron Man Vol 1 3,Anthony Stark (Earth-616)
"May 2, 1968",Iron Man Vol 1 4,Anthony Stark (Earth-616)
"June 4, 1968",Iron Man Vol 1 5,Anthony Stark (Earth-616)
"July 2, 1968",Iron Man Vol 1 6,Anthony Stark (Earth-616)
"June 4, 1968","Nick Fury, Agent of SHIELD Vol 1 4",Anthony Stark (Earth-616)
"July 11, 1968",Incredible Hulk Vol 1 108,Anthony Stark (Earth-616)
"August 1, 1968",Iron Man Vol 1 7,Anthony Stark (Earth-616)
"September 10, 1968",Avengers Vol 1 58,Anthony Stark (Earth-616)
"September 3, 1968",Iron Man Vol 1 8,Anthony Stark (Earth-616)
"October 3, 1968",Iron Man Vol 1 9,Anthony Stark (Earth-616)
"October 3, 1968","Nick Fury, Agent of SHIELD Vol 1 8",Anthony Stark (Earth-616)
"November 12, 1968",Avengers Vol 1 60,Anthony Stark (Earth-616)
"November 5, 1968",Iron Man Vol 1 10,Anthony Stark (Earth-616)
"January 2, 1969",Captain America Vol 1 112,Anthony Stark (Earth-616)
"December 5, 1968",Iron Man Vol 1 11,Anthony Stark (Earth-616)
"January 2, 1969",Iron Man Vol 1 12,Anthony Stark (Earth-616)
"February 4, 1969",Captain America Vol 1 113,Anthony Stark (Earth-616)
"March 4, 1969",Captain America Vol 1 114,Anthony Stark (Earth-616)
"February 4, 1969",Iron Man Vol 1 13,Anthony Stark (Earth-616)
"March 4, 1969",Sub-Mariner Vol 1 14,Anthony Stark (Earth-616)
"March 4, 1969",Iron Man Vol 1 14,Anthony Stark (Earth-616)
"March 12, 1969",Captain Marvel Vol 1 14,Anthony Stark (Earth-616)
"April 3, 1969",Iron Man Vol 1 15,Anthony Stark (Earth-616)
"May 13, 1969",Avengers Vol 1 66,Anthony Stark (Earth-616)
"May 6, 1969",Iron Man Vol 1 16,Anthony Stark (Earth-616)
"June 10, 1969",Avengers Vol 1 67,Anthony Stark (Earth-616)
"July 1, 1969",Iron Man Vol 1 18,Anthony Stark (Earth-616)
"June 3, 1969",Iron Man Vol 1 17,Anthony Stark (Earth-616)
"August 5, 1969",Avengers Vol 1 69,Anthony Stark (Earth-616)
"July 30, 1969",Iron Man Vol 1 19,Anthony Stark (Earth-616)
"September 9, 1969",Avengers Vol 1 70,Anthony Stark (Earth-616)
"September 2, 1969",Iron Man Vol 1 20,Anthony Stark (Earth-616)
"October 7, 1969",Avengers Vol 1 71,Anthony Stark (Earth-616)
"October 1, 1969",Iron Man Vol 1 21,Anthony Stark (Earth-616)
"November 5, 1969",Iron Man Vol 1 22,Anthony Stark (Earth-616)
"December 2, 1969",Captain America Vol 1 123,Anthony Stark (Earth-616)
"December 2, 1969",Iron Man Vol 1 23,Anthony Stark (Earth-616)
"December 29, 1969",Iron Man Vol 1 24,Anthony Stark (Earth-616)
"February 5, 1970",Iron Man Vol 1 25,Anthony Stark (Earth-616)
"March 12, 1970",Avengers Vol 1 76,Anthony Stark (Earth-616)
"March 5, 1970",Iron Man Vol 1 26,Anthony Stark (Earth-616)
"April 10, 1970",Avengers Vol 1 77,Anthony Stark (Earth-616)
"April 3, 1970",Captain America Vol 1 127,Anthony Stark (Earth-616)
"May 14, 1970",Silver Surfer Vol 1 17,Anthony Stark (Earth-616)
"April 3, 1970",Iron Man Vol 1 27,Anthony Stark (Earth-616)
"May 7, 1970",Iron Man Vol 1 28,Anthony Stark (Earth-616)
"June 11, 1970",Avengers Vol 1 79,Anthony Stark (Earth-616)
"June 4, 1970",Iron Man Vol 1 29,Anthony Stark (Earth-616)
"June 11, 1970",Incredible Hulk Vol 1 131,Anthony Stark (Earth-616)
"July 14, 1970",Avengers Vol 1 80,Anthony Stark (Earth-616)
"July 7, 1970",Iron Man Vol 1 30,Anthony Stark (Earth-616)
"August 11, 1970",Avengers Vol 1 81,Anthony Stark (Earth-616)
"August 4, 1970",Iron Man Vol 1 31,Anthony Stark (Earth-616)
"September 8, 1970",Avengers Vol 1 82,Anthony Stark (Earth-616)
"September 1, 1970",Iron Man Vol 1 32,Anthony Stark (Earth-616)
"October 6, 1970",Captain America Vol 1 133,Anthony Stark (Earth-616)
"October 6, 1970",Iron Man Vol 1 33,Anthony Stark (Earth-616)
"November 3, 1970",Iron Man Vol 1 34,Anthony Stark (Earth-616)
"December 8, 1970",Daredevil Vol 1 73,Anthony Stark (Earth-616)
"December 1, 1970",Iron Man Vol 1 35,Anthony Stark (Earth-616)
"December 1, 1970",Sub-Mariner Vol 1 35,Anthony Stark (Earth-616)
"January 12, 1971",Avengers Vol 1 86,Anthony Stark (Earth-616)
"January 5, 1971",Iron Man Vol 1 36,Anthony Stark (Earth-616)
"January 12, 1971",Captain America Vol 1 136,Anthony Stark (Earth-616)
"February 2, 1971",Iron Man Vol 1 37,Anthony Stark (Earth-616)
"February 9, 1971",Avengers Vol 1 87,Anthony Stark (Earth-616)
"March 9, 1971",Avengers Vol 1 88,Anthony Stark (Earth-616)
"March 2, 1971",Iron Man Vol 1 38,Anthony Stark (Earth-616)
"April 6, 1971",Iron Man Vol 1 39,Anthony Stark (Earth-616)
"May 4, 1971",Iron Man Vol 1 40,Anthony Stark (Earth-616)
"June 1, 1971",Iron Man Vol 1 41,Anthony Stark (Earth-616)
"July 6, 1971",Iron Man Vol 1 42,Anthony Stark (Earth-616)
"August 3, 1971",Iron Man Vol 1 43,Anthony Stark (Earth-616)
"August 10, 1971",Avengers Vol 1 93,Anthony Stark (Earth-616)
"September 7, 1971",Avengers Vol 1 94,Anthony Stark (Earth-616)
"October 5, 1971",Iron Man Vol 1 44,Anthony Stark (Earth-616)
"October 12, 1971",Avengers Vol 1 95,Anthony Stark (Earth-616)
"November 9, 1971",Avengers Vol 1 96,Anthony Stark (Earth-616)
"November 30, 1971",Iron Man Vol 1 45,Anthony Stark (Earth-616)
"December 7, 1971",Avengers Vol 1 97,Anthony Stark (Earth-616)
"January 11, 1972",Avengers Vol 1 98,Anthony Stark (Earth-616)
"February 8, 1972",Iron Man Vol 1 46,Anthony Stark (Earth-616)
"February 15, 1972",Avengers Vol 1 99,Anthony Stark (Earth-616)
"February 22, 1972",Amazing Adventures Vol 2 12,Anthony Stark (Earth-616)
"March 14, 1972",Avengers Vol 1 100,Anthony Stark (Earth-616)
"March 7, 1972",Iron Man Vol 1 47,Anthony Stark (Earth-616)
"April 4, 1972",Iron Man Vol 1 48,Anthony Stark (Earth-616)
"April 11, 1972",Avengers Vol 1 101,Anthony Stark (Earth-616)
"April 11, 1972",Captain America Vol 1 151,Anthony Stark (Earth-616)
"April 11, 1972",Incredible Hulk Vol 1 153,Anthony Stark (Earth-616)
"May 9, 1972",Iron Man Vol 1 49,Anthony Stark (Earth-616)
"May 16, 1972",Avengers Vol 1 102,Anthony Stark (Earth-616)
"June 6, 1972",Iron Man Vol 1 50,Anthony Stark (Earth-616)
"June 13, 1972",Avengers Vol 1 103,Anthony Stark (Earth-616)
"June 20, 1972",Amazing Adventures Vol 2 14,Anthony Stark (Earth-616)
"June 27, 1972",Captain Marvel Vol 1 22,Anthony Stark (Earth-616)
"July 4, 1972",Iron Man Vol 1 51,Anthony Stark (Earth-616)
"July 11, 1972",Avengers Vol 1 104,Anthony Stark (Earth-616)
"July 11, 1972",Captain America Vol 1 154,Anthony Stark (Earth-616)
"July 11, 1972",Thor Vol 1 204,Anthony Stark (Earth-616)
"August 1, 1972",Iron Man Vol 1 52,Anthony Stark (Earth-616)
"August 8, 1972",Avengers Vol 1 105,Anthony Stark (Earth-616)
"August 29, 1972",Iron Man Vol 1 53,Anthony Stark (Earth-616)
"September 5, 1972",Avengers Vol 1 106,Anthony Stark (Earth-616)
"October 10, 1972",Avengers Vol 1 107,Anthony Stark (Earth-616)
"October 3, 1972",Iron Man Vol 1 54,Anthony Stark (Earth-616)
"November 7, 1972",Avengers Vol 1 108,Anthony Stark (Earth-616)
"October 31, 1972",Iron Man Vol 1 55,Anthony Stark (Earth-616)
"November 28, 1972",Iron Man Vol 1 56,Anthony Stark (Earth-616)
"December 5, 1972",Avengers Vol 1 109,Anthony Stark (Earth-616)
"December 12, 1972",Marvel Team-Up Vol 1 7,Anthony Stark (Earth-616)
"January 2, 1973",Iron Man Vol 1 57,Anthony Stark (Earth-616)
"January 9, 1973",Avengers Vol 1 110,Anthony Stark (Earth-616)
"February 6, 1973",Iron Man Vol 1 58,Anthony Stark (Earth-616)
"January 23, 1973",Fantastic Four Vol 1 133,Anthony Stark (Earth-616)
"February 20, 1973",Avengers Vol 1 111,Anthony Stark (Earth-616)
"February 20, 1973",Marvel Feature Vol 1 9,Anthony Stark (Earth-616)
"February 27, 1973",Marvel Team-Up Vol 1 9,Anthony Stark (Earth-616)
"March 6, 1973",Iron Man Vol 1 59,Anthony Stark (Earth-616)
"March 20, 1973",Avengers Vol 1 112,Anthony Stark (Earth-616)
"March 27, 1973",Marvel Team-Up Vol 1 10,Anthony Stark (Earth-616)
"April 17, 1973",Avengers Vol 1 113,Anthony Stark (Earth-616)
"April 3, 1973",Iron Man Vol 1 60,Anthony Stark (Earth-616)
"April 17, 1973",Marvel Feature Vol 1 10,Anthony Stark (Earth-616)
"April 24, 1973",Captain Marvel Vol 1 27,Anthony Stark (Earth-616)
"April 24, 1973",Marvel Team-Up Vol 1 11,Anthony Stark (Earth-616)
"May 8, 1973",Iron Man Vol 1 61,Anthony Stark (Earth-616)
"May 22, 1973",Avengers Vol 1 114,Anthony Stark (Earth-616)
"June 5, 1973",Iron Man Vol 1 62,Anthony Stark (Earth-616)
"June 26, 1973",Captain Marvel Vol 1 28,Anthony Stark (Earth-616)
"June 19, 1973",Avengers Vol 1 115,Anthony Stark (Earth-616)
"July 3, 1973",Iron Man Vol 1 63,Anthony Stark (Earth-616)
"July 17, 1973",Avengers Vol 1 116,Anthony Stark (Earth-616)
"July 24, 1973",Defenders Vol 1 9,Anthony Stark (Earth-616)
"July 31, 1973",Iron Man Vol 1 64,Anthony Stark (Earth-616)
"August 14, 1973",Marvel Feature Vol 1 12,Anthony Stark (Earth-616)
"August 21, 1973",Defenders Vol 1 10,Anthony Stark (Earth-616)
"August 28, 1973",Iron Man Vol 1 65,Anthony Stark (Earth-616)
"September 11, 1973",Avengers Vol 1 118,Anthony Stark (Earth-616)
"September 11, 1973",Hero for Hire Vol 1 16,Anthony Stark (Earth-616)
"September 18, 1973",Defenders Vol 1 11,Anthony Stark (Earth-616)
"October 9, 1973",Avengers Vol 1 119,Anthony Stark (Earth-616)
"October 16, 1973",Captain Marvel Vol 1 30,Anthony Stark (Earth-616)
"October 23, 1973",Iron Man Vol 1 66,Anthony Stark (Earth-616)
"November 6, 1973",Avengers Vol 1 120,Anthony Stark (Earth-616)
"November 27, 1973",Captain America Vol 1 171,Anthony Stark (Earth-616)
"November 6, 1973",Power Man Vol 1 17,Anthony Stark (Earth-616)
"December 4, 1973",Avengers Vol 1 121,Anthony Stark (Earth-616)
"December 4, 1973",Captain Marvel Vol 1 31,Anthony Stark (Earth-616)
"December 18, 1973",Iron Man Vol 1 67,Anthony Stark (Earth-616)
"January 8, 1974",Avengers Vol 1 122,Anthony Stark (Earth-616)
"February 5, 1974",Defenders Vol 1 13,Anthony Stark (Earth-616)
"February 12, 1974",Captain Marvel Vol 1 32,Anthony Stark (Earth-616)
"February 12, 1974",Avengers Vol 1 123,Anthony Stark (Earth-616)
"March 5, 1974",Iron Man Vol 1 68,Anthony Stark (Earth-616)
"March 19, 1974",Avengers Vol 1 124,Anthony Stark (Earth-616)
"April 16, 1974",Avengers Vol 1 125,Anthony Stark (Earth-616)
"April 16, 1974",Captain Marvel Vol 1 33,Anthony Stark (Earth-616)
"April 30, 1974",Iron Man Vol 1 69,Anthony Stark (Earth-616)
"May 7, 1974",Captain America Vol 1 176,Anthony Stark (Earth-616)
"May 14, 1974",Avengers Vol 1 126,Anthony Stark (Earth-616)
"May 14, 1974",Giant-Size Avengers Vol 1 1,Anthony Stark (Earth-616)
"June 18, 1974",Avengers Vol 1 127,Anthony Stark (Earth-616)
"June 18, 1974",Captain Marvel Vol 1 34,Anthony Stark (Earth-616)
"June 25, 1974",Fantastic Four Vol 1 150,Anthony Stark (Earth-616)
"June 25, 1974",Iron Man Vol 1 70,Anthony Stark (Earth-616)
"July 16, 1974",Avengers Vol 1 128,Anthony Stark (Earth-616)
"August 6, 1974",Giant-Size Man-Thing Vol 1 2,Anthony Stark (Earth-616)
"August 13, 1974",Avengers Vol 1 129,Anthony Stark (Earth-616)
"August 27, 1974",Giant-Size Avengers Vol 1 2,Anthony Stark (Earth-616)
"August 27, 1974",Iron Man Vol 1 71,Anthony Stark (Earth-616)
"September 10, 1974",Thor Vol 1 230,Anthony Stark (Earth-616)
"September 17, 1974",Avengers Vol 1 130,Anthony Stark (Earth-616)
"October 17, 1974",Avengers Vol 1 131,Anthony Stark (Earth-616)
"October 24, 1974",Marvel Team-Up Vol 1 29,Anthony Stark (Earth-616)
"October 24, 1974",Iron Man Vol 1 72,Anthony Stark (Earth-616)
"November 12, 1974",Thor Vol 1 232,Anthony Stark (Earth-616)
"November 19, 1974",Avengers Vol 1 132,Anthony Stark (Earth-616)
"November 26, 1974",Giant-Size Avengers Vol 1 3,Anthony Stark (Earth-616)
"December 10, 1974",Thor Vol 1 233,Anthony Stark (Earth-616)
